Data*Wrocław - al. Wiśniowa (pył zawieszony PM2.5 1-godzinny)
2019-01-01,16.5,
2019-01-02,8.2,
2019-01-03,9.7,
2019-01-04,13.0,
2019-01-05,9.4,
2019-01-06,11.0,
2019-01-07,30.4,
2019-01-08,12.5,
2019-01-09,15.0,
2019-01-10,33.8,
2019-01-11,16.7,
2019-01-12,11.1,
2019-01-13,7.1,
2019-01-14,7.8,
2019-01-15,8.9,
2019-01-16,13.8,
2019-01-17,16.6,
2019-01-18,12.1,
2019-01-19,28.7,
2019-01-20,88.7,
2019-01-21,79.0,
2019-01-22,95.0,
2019-01-23,58.6,
2019-01-24,31.4,
2019-01-25,43.9,
2019-01-26,39.5,
2019-01-27,24.0,
2019-01-28,41.1,
2019-01-29,27.8,
2019-01-30,52.7,
2019-01-31,68.9,
2019-02-01,46.1,
2019-02-02,36.3,
2019-02-03,26.4,
2019-02-04,22.8,
2019-02-05,38.4,
2019-02-06,29.9,
2019-02-07,44.7,
2019-02-08,29.3,
2019-02-09,17.4,
2019-02-10,18.7,
2019-02-11,9.3,
2019-02-12,10.6,
2019-02-13,17.8,
2019-02-14,23.6,
2019-02-15,33.3,
2019-02-16,46.6,
2019-02-17,64.4,
2019-02-18,72.3,
2019-02-19,42.0,
2019-02-20,17.5,
2019-02-21,22.5,
2019-02-22,15.6,
2019-02-23,24.3,
2019-02-24,32.8,
2019-02-25,23.9,
2019-02-26,35.7,
2019-02-27,38.6,
2019-02-28,30.1,
2019-03-01,46.7,
2019-03-02,37.2,
2019-03-03,18.5,
2019-03-04,10.5,
2019-03-05,8.6,
2019-03-06,16.8,
2019-03-07,15.1,
2019-03-08,8.9,
2019-03-09,9.5,
2019-03-10,8.2,
2019-03-11,9.1,
2019-03-12,13.5,
2019-03-13,9.9,
2019-03-14,9.3,
2019-03-15,7.9,
2019-03-16,8.6,
2019-03-17,7.8,
2019-03-18,9.1,
2019-03-19,17.0,
2019-03-20,27.3,
2019-03-21,33.2,
2019-03-22,49.5,
2019-03-23,32.9,
2019-03-24,18.4,
2019-03-25,14.8,
2019-03-26,11.5,
2019-03-27,13.9,
2019-03-28,20.7,
2019-03-29,31.0,
2019-03-30,43.7,
2019-03-31,25.5,
2019-04-01,10.8,
2019-04-02,22.1,
2019-04-03,30.6,
2019-04-04,21.7,
2019-04-05,28.2,
2019-04-06,30.8,
2019-04-07,34.3,
2019-04-08,46.4,
2019-04-09,28.8,
2019-04-10,16.7,
2019-04-11,17.2,
2019-04-12,21.5,
2019-04-13,24.1,
2019-04-14,22.1,
2019-04-15,17.6,
2019-04-16,21.1,
2019-04-17,0.0,
2019-04-18,23.9,
2019-04-19,26.6,
2019-04-20,20.4,
2019-04-21,18.0,
2019-04-22,14.9,
2019-04-23,15.9,
2019-04-24,19.4,
2019-04-25,22.7,
2019-04-26,16.7,
2019-04-27,13.8,
2019-04-28,9.9,
2019-04-29,14.0,
2019-04-30,21.3,
2019-05-01,23.1,
2019-05-02,16.7,
2019-05-03,11.9,
2019-05-04,11.1,
2019-05-05,9.9,
2019-05-06,13.2,
2019-05-07,15.9,
2019-05-08,21.8,
2019-05-09,17.2,
2019-05-10,15.8,
